gene_id,gene_symbol,log2fc,pvalue,padj
b4300,sgcR,1.03,,
b3618,yibB,1.03,,
b0659,ybeY,-1.028,,
b1581,rspA,1.026,,
b0778,bioD,1.024,,
b2152,yeiB,1.022,,
b0321,yahG,-1.021,,
b0650,hscC,1.019,,
b1799,yeaT,1.015,,
b1573,ydfC,-1.014,,
b0575,cusA,-1.011,,
b1976,mtfA,1.011,,
b3951,pflD,-1.011,,
b3492,yhiN,-1.009,,
b1255,yciC,1.007,,
b3623,waaU,1.003,,
b0531,sfmC,1.001,,
b0646,djlB,1.0,,
b0929,ompF,-0.999,,
b0218,yafU,0.998,,
b0733,cydA,0.998,,
b1172,ymgG,0.997,,
b0246,yafW,0.996,,
b2093,gatB,-0.995,,
b2369,evgA,0.995,,
b3512,gadE,-0.994,,
b2964,nupG,-0.992,,
b2028,ugd,0.989,,
b0292,matC,-0.987,,
b1562,hokD,0.985,,
b1060,bssS,-0.984,,
b4177,purA,0.983,,
b0454,ybaZ,0.981,,
b2344,fadL,0.981,,
b3671,ilvB,0.979,,
b1779,gapA,-0.979,,
b1594,dgsA,0.978,,
b1794,yeaP,0.977,,
b2422,cysA,0.977,,
b3906,rhaR,-0.977,,
b3081,fadH,0.974,,
b0141,yadN,0.974,,
b1796,yoaG,-0.973,,
b1616,uidB,-0.972,,
b3563,yiaB,0.972,,
b0485,ybaS,-0.97,,
b0877,ybjX,-0.968,,
b1513,lsrA,0.967,,
b1675,ydhZ,0.965,,
b1205,ychH,0.963,,
b1159,mcrA,0.962,,
b4392,slt,0.962,,
b0845,ybjJ,0.959,,
b0958,sulA,0.959,,
b0481,ybaK,-0.958,,
b2003,yeeT,-0.957,,
b3709,tnaB,0.957,,
b1777,yeaC,0.957,,
b1415,aldA,0.957,,
b0707,ybgA,0.956,,
b2317,dedA,0.956,,
b3126,garL,0.952,,
b0764,modB,-0.952,,
b3271,yhdZ,-0.951,,
b0438,clpX,-0.951,,
b0379,yaiY,0.951,,
b0874,ybjE,0.951,,
b0975,hyaD,0.949,,
b1350,recE,-0.949,,
b1916,sdiA,-0.949,,
b1584,speG,-0.948,,
b2472,dapE,-0.948,,
b1351,racC,0.948,,
b2378,lpxP,0.947,,
b0763,modA,-0.946,,
b3670,ilvN,0.945,,
b0340,cynS,0.944,,
b1895,uspC,-0.944,,
b0824,ybiY,-0.944,,
b2768,ygcP,0.939,,
b3059,plsY,0.936,,
b0461,tomB,0.935,,
b3993,thiE,0.933,,
b2302,yfcG,0.931,,
b1038,csgF,0.931,,
b2022,hisB,0.93,,
b3917,sbp,0.928,,
b3635,mutM,-0.927,,
b1043,csgC,-0.927,,
b0608,ybdR,-0.926,,
b0765,modC,-0.926,,
b1625,cnu,-0.926,,
b1658,purR,0.925,,
b0064,araC,0.925,,
b4354,yjiY,-0.925,,
b1586,ynfD,0.925,,
b1118,lolE,0.924,,
b3239,yhcO,0.924,,
b2425,cysP,0.923,,
b0406,tgt,0.923,,
b3732,atpD,0.923,,
b0757,galK,-0.92,,
b0756,galM,-0.92,,
b2545,yphC,-0.919,,
b2196,ccmF,0.919,,
b4289,fecC,-0.918,,
b2128,yehW,-0.917,,
b0781,moaA,-0.916,,
b0341,cynX,-0.915,,
b2461,eutP,0.911,,
b0348,mhpB,-0.91,,
b1820,yobD,0.91,,
b2460,eutQ,0.909,,
b1973,yodA,-0.909,,
b2539,hcaF,-0.908,,
b2661,gabD,0.907,,
b1079,flgH,-0.907,,
b1112,bhsA,-0.905,,
b2249,yfaY,-0.903,,
b4279,yjhB,0.903,,
b3544,dppA,0.902,,
b4315,fimI,-0.902,,
b0458,ylaC,-0.901,,
b2764,cysJ,0.9,,
b1167,ymgC,0.899,,
b4240,treB,0.898,,
b3133,agaV,-0.896,,
b1461,pptA,0.896,,
b3001,yghZ,0.895,,
b0268,yagE,-0.894,,
b2868,xdhC,-0.893,,
b3219,yhcF,-0.893,,
b3605,lldD,-0.892,,
b1560,ydfU,-0.892,,
b2161,nupX,-0.892,,
b3870,glnA,0.891,,
b1202,ycgV,-0.888,,
b2052,fcl,0.885,,
b4316,fimC,-0.883,,
b3014,yqhH,0.882,,
b4231,yjfF,0.882,,
b3628,rfaB,0.88,,
b3995,rsd,0.88,,
b0337,codA,0.878,,
b1034,ycdX,0.876,,
b3362,yhfG,0.876,,
b2584,yfiQ,0.874,,
b2156,lysP,0.872,,
b0916,ycaQ,0.871,,
b0872,hcr,-0.871,,
b1950,fliR,-0.871,,
b3221,yhcH,-0.869,,
b3270,yhdY,-0.866,,
b3028,mdaB,-0.866,,
b2559,tadA,-0.865,,
b4005,purD,0.863,,
b0954,fabA,0.863,,
b4281,yjhD,-0.862,,
b1393,paaF,-0.862,,
b1623,add,-0.861,,
b2221,atoD,-0.861,,
b1502,ydeQ,0.86,,
b3364,tsgA,-0.857,,
b2419,yfeK,-0.857,,
b2710,norV,-0.856,,
b0787,ybhM,-0.856,,
b3546,eptB,0.855,,
b0342,lacA,-0.855,,
b0199,metN,-0.855,,
b0836,bssR,-0.852,,
b3570,bax,0.851,,
b1774,ydjJ,-0.851,,
b1063,yceB,0.85,,
b0657,lnt,-0.849,,
b0277,yagK,-0.846,,
b0886,cydC,0.846,,
b1657,ydhP,0.845,,
b0965,yccU,0.844,,
b3449,ugpQ,-0.843,,
b4245,pyrB,0.842,,
b0178,skp,-0.842,,
b3859,rdoA,0.841,,
b1611,fumC,-0.841,,
b1801,yeaV,0.84,,
b3223,nanE,-0.839,,
b0734,cydB,0.838,,
b0044,fixX,-0.836,,
b1156,tfaE,-0.836,,
b3645,dinD,0.835,,
b1042,csgA,0.833,,
b2707,srlR,-0.832,,
b0263,afuB,0.832,,
b3553,ghrB,0.83,,
b2203,napB,-0.83,,
b0401,brnQ,0.83,,
b2370,evgS,0.829,,
b1879,flhA,-0.829,,
b0291,yagX,-0.829,,
b1682,sufC,-0.827,,
b4237,nrdG,0.826,,
b2181,yejG,-0.825,,
b1579,intQ,-0.825,,
b0885,aat,0.823,,
b0247,ykfG,0.822,,
b1396,paaI,-0.821,,
b2463,maeB,-0.821,,
b1175,minD,-0.82,,
b3399,yrfG,-0.82,,
b1310,ycjN,-0.819,,
b2977,glcG,-0.819,,
b2763,cysI,0.818,,
b2043,wcaM,0.818,,
b2666,yqaE,0.817,,
b2065,dcd,0.816,,
b2341,fadJ,0.816,,
b0983,gfcE,-0.816,,
b3877,yihP,-0.815,,
b4239,treC,0.814,,
b3715,yieH,0.814,,
b3471,yhhQ,-0.813,,
b3905,rhaS,0.812,,
b2562,yfhL,-0.811,,
b1198,dhaM,-0.811,,
b2420,yfeS,-0.81,,
b2040,rfbD,0.809,,
b3626,rfaJ,0.809,,
b3374,frlD,0.809,,
b2295,yfbV,0.809,,
b2903,gcvP,0.809,,
b1039,csgE,0.809,,
b2866,xdhA,-0.807,,
b3038,ygiC,0.805,,
b0936,ssuA,0.803,,
b0782,moaB,-0.803,,
b3381,yhfX,0.802,,
b3158,yhbU,0.799,,
b1394,paaG,-0.799,,
b1850,eda,-0.799,,
b1314,ycjR,-0.797,,
b0304,ykgC,-0.797,,
b3668,uhpB,0.796,,
b1643,ydhI,0.796,,
b0547,ybcN,0.795,,
b4114,eptA,0.794,,
b1576,ydfD,-0.793,,
b1927,amyA,-0.793,,
b0905,ycaO,0.793,,
b1288,fabI,0.792,,
b2758,casC,-0.792,,
b0645,ybeR,-0.791,,
b0554,essD,0.791,,
b1789,yeaL,0.791,,
b0437,clpP,-0.79,,
b2466,ypfG,0.79,,
b0122,yacC,0.789,,
b0706,ybfD,0.787,,
b2153,folE,0.785,,
b4002,zraP,0.785,,
b3088,alx,0.784,,
b3674,yidF,0.784,,
b2998,yghW,-0.783,,
b0721,sdhC,0.783,,
b3561,wecH,-0.782,,
b0569,nfrB,-0.779,,
b1902,ftnB,0.776,,
b3562,yiaA,0.774,,
b2248,yfaX,-0.774,,
b2665,ygaU,0.774,,
b3335,gspO,0.773,,
b2755,ygbT,-0.773,,
b2541,hcaB,-0.773,,
b0803,ybiI,-0.773,,
b1605,ydgI,0.773,,
b3764,yifE,-0.773,,
b3731,atpC,0.772,,
b3328,gspG,-0.772,,
b2650,ypjC,-0.772,,
b1275,cysB,0.772,,
b2766,ygcN,0.77,,
b0136,yadK,-0.768,,
b0551,quuD,0.767,,
b1547,stfQ,-0.766,,
b4156,yjeM,-0.764,,
b1182,hlyE,-0.763,,
b4045,yjbJ,0.763,,
b4087,alsA,0.761,,
b3325,gspD,-0.761,,
b2135,yohC,0.76,,
b2060,wzc,0.76,,
b3676,yidH,0.759,,
b3078,ygjI,0.759,,
b2739,ygbM,-0.759,,
b1447,ydcZ,0.758,,
b0998,torD,0.757,,
b3604,lldR,-0.756,,
b2250,yfaZ,-0.755,,
b4115,adiC,0.755,,
b2409,yfeR,-0.754,,
b4062,soxS,0.753,,
b0335,prpE,-0.753,,
b2753,iap,-0.752,,
b1876,argS,0.751,,
b3630,rfaP,0.75,,
b2332,yfcO,0.749,,
b3595,yibJ,-0.749,,
b0318,yahD,-0.748,,
b2485,hyfE,0.748,,
b2246,yfaV,-0.748,,
b3407,yhgF,-0.747,,
b3966,btuB,0.747,,
b3739,atpI,0.746,,
b2552,hmp,-0.745,,
b3055,ygiM,-0.745,,
b2797,sdaB,-0.744,,
b4208,cycA,-0.744,,
b0863,artI,0.743,,
b4238,nrdD,0.743,,
b3819,rarD,-0.742,,
b1894,insA,0.741,,
b0805,fiu,-0.741,,
b1150,ymfR,0.739,,
b3881,yihT,-0.738,,
b1157,stfE,0.738,,
b2094,gatA,-0.737,,
b1190,dadX,-0.737,,
b3477,nikB,-0.737,,
b4017,arpA,-0.736,,
b3020,ygiS,-0.736,,
b0826,moeB,0.736,,
b0365,tauA,-0.736,,
b4074,nrfE,0.734,,
b1360,ydaV,-0.734,,
b4278,insG,-0.734,,
b2086,yegS,0.731,,
b3513,mdtE,-0.731,,
b1825,yebO,0.73,,
b4353,yjiX,-0.729,,
b2899,yqfA,0.728,,
b3876,yihO,-0.728,,
b2372,yfdV,-0.728,,
b1988,nac,0.728,,
b1814,sdaA,0.727,,
b1571,ydfA,-0.726,,
b3952,pflC,-0.726,,
b1207,prs,0.725,,
b2009,sbmC,0.724,,
b0380,yaiZ,0.723,,
b1978,yeeJ,-0.723,,
b0040,caiT,0.722,,
b4213,cpdB,-0.72,,
b2724,hycB,-0.72,,
