switch_number,on_off,aug_index,p_open_off,p_open_on,dG_open_off,dG_open_on,separation,A_M_off,A_M_on,A_M_gain,mean_wrank_off,mean_wrank_on,mean_wrank_gain,aug_off,aug_on,aug_gain,narrow_sep,switch_len
12,169.9,50,9.427387146561784e-14,4.5447706495421167e-05,18.485045433044434,6.162559509277344,12.32248592376709,0.15914560791423177,0.5918487692810088,0.43270316136677706,0.48328527012637607,0.6892759396334277,0.20599066950705164,0.8948714740006128,0.7545521231882678,-0.14031935081234503,7.072072982788086,92
13,155.3,50,1.468839872327178e-11,0.01852028182695548,15.373482704162598,2.45843505859375,12.915047645568848,0.15965229095339287,0.6978202622237908,0.538167971270398,0.4718923066873571,0.793427331894204,0.3215350252068469,0.9039085137287809,0.4776686004942589,-0.426239913234522,7.78084659576416,92
15,124.7,50,9.41701788178869e-11,0.0026082370730403657,14.228330612182617,3.6665420532226562,10.561788558959961,0.1721971001977496,0.7325403952988774,0.5603432951011278,0.48604203768716,0.8376683599695895,0.35162632228242957,0.9759451200656383,0.48865122247259896,-0.4872938975930393,4.365459442138672,92
16,123.2,50,3.990131699679097e-13,0.0021702877084256145,17.595823764801025,3.7798309326171875,13.815992832183838,0.17336428837119874,0.6300149663996765,0.4566506780284777,0.4851442615626008,0.6375950512748365,0.1524507897122357,0.9766526115075999,0.4130305478991676,-0.5636220636084323,6.500156402587891,92
17,122.6,50,8.038838979403192e-15,1.33778171541252e-05,20.0023775100708,6.916297912597657,13.086079597473145,0.15657915399484376,0.5441082634027213,0.38752910940787755,0.48354486431550364,0.6660880944436359,0.18254323012813228,0.8722235477063219,0.7299013647242424,-0.14232218298207955,7.179149627685547,92
18,115.1,50,6.425129174072941e-11,0.08844013461203376,14.463951110839844,1.4948425292968752,12.969108581542969,0.1459860382825682,0.8236352562829707,0.6776492180004026,0.4556845819157824,0.8494062606884413,0.39372167877265885,0.7819304874078544,0.8079339999724536,0.026003512564599207,5.654163360595703,92
19,103.5,50,2.3801969809306358e-11,0.04660018940301561,15.075978279113768,1.8897323608398438,13.186245918273924,0.1700747326293498,0.7705822693686492,0.6005075367392994,0.4883651064198945,0.8342560357851884,0.34589092936529386,0.982548430479644,0.5120770177772062,-0.47047141270243786,7.933879852294922,92
20,101.9,50,1.0730239763525183e-12,0.014093139508094536,16.986133575439453,2.626800537109375,14.359333038330078,0.1659024684677593,0.7699302417731837,0.6040277733054245,0.48891054196238365,0.8443528935523743,0.35544235158999066,0.9160897759983165,0.8692350300387046,-0.04685474595961192,5.504014968872071,92
21,86.6,50,3.9563207663813683e-13,0.000271848281920079,17.6010684967041,5.060157775878907,12.540910720825195,0.12896297384382244,0.5377037877607475,0.408740813916925,0.465199105134728,0.6575617733856138,0.19236266825088583,0.7634886335616544,0.48908946554314126,-0.27439916801851316,6.488222122192383,92
22,83.1,50,3.7733512111454626e-13,0.002937326855001443,17.63025188446045,3.5933074951171875,14.036944389343262,0.14579265845282868,0.6535421711173613,0.5077495126645326,0.4515790218307226,0.7749764240039635,0.32339740217324087,0.8545237657993104,0.44532261867784345,-0.409201147121467,6.042293548583984,92
23,75.2,50,2.889755755992498e-11,0.03182167743619087,14.956418991088867,2.1248321533203125,12.831586837768555,0.16840821079547258,0.6793795479470974,0.5109713371516249,0.4777038907226706,0.707640261853694,0.2299363711310234,0.9351826534144577,0.6259261905077403,-0.3092564629067174,5.825958251953124,92
24,74.8,50,3.70903551187408e-14,0.005019396649219224,19.059978485107422,3.2630767822265625,15.79690170288086,0.16951570525553436,0.6502255899202372,0.48070988466470277,0.48575081448181884,0.7597294062077358,0.27397859172591693,0.9663754622314501,0.4563194109583389,-0.5100560512731112,6.86454963684082,92
25,72.6,50,2.9897184093876534e-13,8.375018526489645e-06,17.77372169494629,7.204948425292969,10.56877326965332,0.12900575904529427,0.6831118121326476,0.5541060530873534,0.4705887120212331,0.7819783234156387,0.3113896113944056,0.6840473854489962,0.7729632846795109,0.08891589923051468,6.524984359741212,92
26,68.2,50,4.675047767528462e-14,0.11585307797625127,18.917320251464844,1.3284378051757812,17.588882446289062,0.14581721161307076,0.8257184117161374,0.6799012001030666,0.482831320493824,0.833385929468834,0.35055460897501006,0.8122783241036308,0.8249427672049282,0.01266444310129744,9.543558120727539,92
27,67.3,50,7.059173348774219e-12,0.006710310791821144,15.825079441070557,3.0841369628906254,12.740942478179932,0.1596489948977454,0.5458339384431193,0.3861849435453739,0.490261426550312,0.6157251360794544,0.12546370952914243,0.8985358245628431,0.4091831973054047,-0.4893526272574384,7.427613258361816,92
28,66.9,50,2.749455473645352e-10,0.03559752549700221,13.567961692810059,2.05572509765625,11.512236595153809,0.16162506299335355,0.7918222488820774,0.6301971858887239,0.4676170636725747,0.8148174124809613,0.34720034880838657,0.8956778590930458,0.9297501753724252,0.034072316279379455,8.583457946777344,92
29,63.1,50,1.7557094941159768e-12,4.884465192610947e-05,16.68266201019287,6.118133544921875,10.564528465270996,0.16672541749100664,0.3867293804706844,0.22000396297967775,0.4903286008296429,0.5103467312988217,0.020018130469178774,0.963874776759066,0.3567677995372753,-0.6071069772217907,2.479442596435548,92
30,63.0,50,9.008858810054122e-14,0.0061202044965292446,18.513032913208008,3.1408691406250004,15.372163772583008,0.17025527605902477,0.7038190130705908,0.533563737011566,0.4857458647191921,0.7023869956678164,0.21664113094862425,0.9792261182006538,0.8109461793101284,-0.1682799388905254,8.197662353515625,92
31,62.0,50,1.5826894741603556e-11,0.21782361224773936,15.327472686767578,0.9393157958984375,14.38815689086914,0.14761305445465872,0.9208991388886356,0.7732860844339768,0.4477367026792084,0.9106950438087948,0.46295834112958645,0.8027050126255949,0.9224561586005534,0.1197511459749585,7.741909027099609,92
