gene_id,gene_symbol,log2fc,pvalue,padj
YCR024C-A,,-0.5,6.21137685932562e-16,
YCR024C-B,,-0.5,2.46335901763459e-12,
YCR046C,,0.5,5.87320293686134e-06,
YCR091W,KIN82,-0.5,4.92089846491751e-08,
YDL036C,,0.5,1.5739596066305e-09,
YDL198C,GGC1,0.5,1.46218474109626e-14,
YDR040C,ENA1,0.5,0.000246262105373291,
YDR154C,,-0.5,8.68248612566966e-11,
YDR209C,,0.5,3.56645277962149e-07,
YDR212W,TCP1,-0.5,5.68166334489598e-20,
YDR217C,,-0.5,1.62432284931188e-08,
YDR225W,HTA1,-0.5,3.65866139495737e-17,
YDR228C,,-0.5,5.82487803695235e-12,
YDR232W,HEM1,-0.5,1.04762010431848e-08,
YDR233C,,-0.5,1.62356352902623e-17,
YDR238C,,-0.5,2.8976746500794e-18,
YDR240C,SNU56,-0.5,8.92303070477232e-09,
YDR244W,PEX5,-0.5,4.4666021315357e-18,
YDR245W,MNN10,-0.5,1.50821408507196e-15,
YDR254W,CHL4,-0.5,1.29759496925191e-08,
YDR255C,RMD5,-0.5,2.03028205236035e-11,
YDR258C,,-0.5,2.82985122608391e-10,
YDR261W-B,,-0.5,0.0180557346383981,
YDR269C,,0.5,0.0532320585588194,
YDR270W,,0.5,2.39537392242196e-10,
YDR274C,,-0.5,4.85423619034656e-05,
YDR461W,,0.5,3.57313875521529e-06,
YDR514C,,0.5,3.90449234727578e-07,
YDR516C,,0.5,6.23568406792856e-18,
YDR522C,,0.5,0.00038521465237231,
YDR539W,,-0.5,1.38505398155416e-08,
YEL038W,,0.5,1.01815373585857e-05,
YER001W,,-0.5,1.84648415185722e-10,
YER062C,HOR2,-0.5,1.00890702500048e-08,
YER088C-A,,0.5,0.0233297798935157,
YER124C,,-0.5,4.34649326582374e-10,
YER145C-A,,0.5,7.09394926023278e-05,
YFL021C-A,,0.5,0.0835906297399577,
YFL045C,SEC53,-0.5,1.18557397898492e-13,
YFL052W,YFL052W,0.5,4.49360756803635e-06,
YFL065C,,0.5,0.0657641267858807,
YFL066C,,0.5,0.0661954657186859,
YGL008C,PMA1,-0.5,4.81840651356868e-12,
YGL037C,,-0.5,2.61276551389156e-08,
YGL053W,,-0.5,4.76279027058931e-06,
YGL062W,,-0.5,1.25996866459424e-12,
YGL162W,,0.5,0.000195295229409598,
YGL177W,,0.5,0.0630213662033141,
YGL196W,,-0.5,5.94107108053985e-14,
YGL230C,,0.5,0.000376422794302321,
YGR021W,,0.5,1.14690937018169e-08,
YGR088W,CTT1,-0.5,0.01886218951652,
YGR121W-A,,0.5,0.056807987900611,
YGR136W,,0.5,2.94057707363978e-05,
YGR137W,,0.5,0.000272696078179792,
YGR146C,,-0.5,5.42523463934224e-11,
YGR153W,YGR153W,0.5,1.14424744676271e-06,
YGR180C,RNR4,-0.5,1.01982075066046e-14,
YGR201C,,-0.5,1.29227185174172e-07,
YGR284C,,-0.5,7.03250346253282e-11,
YHL028W,WSC4,0.5,0.000122698810480365,
YHR022C-A,,0.5,0.0976777966807746,
YHR143W,,-0.5,3.96533523515313e-13,
YHR178W,,-0.5,9.20014523452155e-09,
YHR214C-E,,0.5,0.070838588825742,
YIL013C,,-0.5,3.61682728092841e-09,
YIL054W,,0.5,0.0684748236282437,
YIL072W,,-0.5,1.38421072317893e-05,
YIL123W,,0.5,2.37942488204273e-07,
YIL169C,YIL169C,0.5,3.17235028356019e-08,
YIR021W,MRS1,0.5,8.88373159842837e-05,
YIR027C,,0.5,6.00079238201152e-05,
YJL016W,YJL016W,-0.5,1.60530615756654e-06,
YJL043W,,0.5,0.025593608175051,
YJL047C-A,,0.5,0.0542174179394357,
YJL101C,,-0.5,4.90614184242977e-14,
YJL107C,,0.5,0.00226388842061988,
YJL158C,CIS3,0.5,6.05528646950225e-07,
YJL198W,,0.5,1.66754321094188e-07,
YJR027W,,0.5,0.000743456537207786,
YJR115W,,0.5,9.87209185419026e-07,
YJR117W,STE24,-0.5,5.5804913927607e-10,
YJR146W,,0.5,0.00319778383052513,
YJR154W,,0.5,0.000112089353488842,
YKL086W,,0.5,0.0197009617078683,
YKL096W-A,CWP2,-0.5,1.29538428745545e-19,
YKL107W,,-0.5,2.00965687462411e-05,
YKL120W,,0.5,1.44255963489924e-10,
YKL152C,,-0.5,4.80304423918645e-11,
YKL163W,PIR3,-0.5,1.92374914190959e-06,
YKL182W,,-0.5,2.71320175302933e-10,
YKR009C,FOX2,-0.5,6.66099017502971e-13,
YKR012C,,0.5,0.000384797666919267,
YKR041W,,0.5,0.0147691862335221,
YKR049C,,-0.5,6.01363942902047e-09,
YKR058W,,-0.5,2.76127534189231e-11,
YKR091W,,0.5,9.48477737193568e-08,
YKR097W,PCK1,0.5,5.80167400667438e-07,
YKR099W,,0.5,9.26979023471359e-07,
YKR102W,,0.5,5.56325780866077e-05,
YLL055W,,-0.5,1.51557780420565e-08,
YLL060C,,-0.5,1.44569968461482e-06,
YLL062C,,0.5,9.41074611321766e-10,
YLR054C,,0.5,1.01368871793236e-05,
YLR064W,,-0.5,1.44564846847518e-08,
YLR092W,,0.5,7.03250346253282e-11,
YLR122C,,0.5,0.0104981002752895,
YLR137W,,0.5,2.65694707605115e-05,
YLR142W,,-0.5,3.13451207858391e-12,
YLR164W,,-0.5,3.24084376175545e-08,
YLR217W,,-0.5,0.000290125832192467,
YLR327C,TMA10,-0.5,6.41951695661683e-10,
YLR331C,,0.5,0.0283061588435842,
YLR341W,,0.5,0.0049406281145088,
YLR342W,FKS1,0.5,1.16200840983241e-11,
YLR412C-A,,0.5,0.0265522285695843,
YLR437C,,0.5,1.12517837581358e-06,
YLR438W,CAR2,-0.5,1.33538742347403e-06,
YLR466C-B,,-0.5,0.034308890781684,
YML007C-A,,0.5,0.0396502681887565,
YML054C,,-0.5,8.33254161966568e-10,
YML087C,,0.5,6.08206377528051e-07,
YMR042W,ARG80,0.5,1.4283278747066e-05,
YMR105C,PGM2,-0.5,3.67001236562478e-06,
YMR120C,,-0.5,3.02970713497067e-11,
YMR122C,,0.5,0.0171370252667989,
YMR148W,,-0.5,4.24289255644584e-12,
YMR238W,,0.5,1.82807042981016e-14,
YMR254C,,0.5,0.0072235183996907,
YMR304W,,-0.5,9.57688725095305e-11,
YMR315W,,-0.5,5.27298244921968e-13,
YNL017C,,0.5,0.105735154158331,
YNL142W,,-0.5,0.0283321233206873,
YNL145W,,0.5,5.96803770889604e-07,
YNL192W,CHS1,0.5,5.72942636366122e-15,
YNL193W,,0.5,4.15866561597098e-09,
YNL270C,ALP1,-0.5,7.46087525641421e-06,
YNL281W,,-0.5,5.64313478347087e-11,
YNR015W,SMM1,0.5,1.18402682597062e-06,
YNR016C,ACC1,-0.5,1.2450248001611e-15,
YNR027W,,0.5,8.29979146524394e-05,
YNR034W-A,,-0.5,0.0383526829001997,
YNR067C,DSE4,-0.5,1.49430550404754e-09,
YNR069C,,-0.5,2.58832925885534e-06,
YOL002C,IZH2,-0.5,2.15948814509146e-11,
YOL019W,YOL019W,0.5,1.24170066200947e-10,
YOL081W,IRA2,-0.5,4.0213937289777e-07,
YOL114C,,0.5,0.00158440827049917,
YOR020C,HSP10,-0.5,1.93080628857018e-10,
YOR027W,,-0.5,3.70003686822754e-09,
YOR028C,CIN5,-0.5,0.000748223598720922,
YOR050C,YOR050C,0.5,0.00042139980181558,
YOR084W,,-0.5,1.61585592396235e-05,
YOR135C,,0.5,4.42738091774556e-05,
YOR186W,,-0.5,0.0268887558397943,
YOR208W,,0.5,1.18342241714162e-08,
YOR222W,ODC2,0.5,1.1644647924945e-09,
YOR273C,,-0.5,1.3009756104759e-09,
YPL017C,,-0.5,6.95588450650732e-09,
YPL025C,,0.5,0.0418561713950117,
YPL033C,,0.5,0.00896572990477701,
YPL135W,ISU1,-0.5,1.78161757584081e-07,
YPL197C,,-0.5,4.29525739832264e-05,
YPL198W,RPL7B,-0.5,1.32250247917687e-09,
YPL201C,,-0.5,6.83810344069355e-08,
YPL250C,,-0.5,5.02627160365474e-09,
YPL278C,,-0.5,0.0843311793636145,
YPR064W,,0.5,0.0592422050019679,
YPR078C,,0.5,1.08011220587079e-06,
YPR113W,,0.5,3.6635166003235e-08,
YPR138C,,-0.5,2.16506737434536e-15,
snR45,,0.5,0.0796294016880511,
snR86,,-0.5,0.00255214774272311,
tD(GUC)N,,-0.5,0.0479308962326062,
ENSRNA049607866,,-0.4,0.0355275151957866,
ENSRNA049652405,,-0.4,0.211253525384651,
RNA170,RNA170,0.4,0.1473414455143,
YAL012W,CYS3,0.4,0.0281172131847061,
YAL016C-B,,-0.4,0.107820477735433,
YAL028W,FRT2,-0.4,0.0147752670469808,
YAL040C,CLN3,0.4,4.65627304448651e-07,
YAL060W,BDH1,0.4,3.2609034711873e-08,
YAR031W,,0.4,0.0152091125215603,
YBL054W,TOD6,0.4,5.99566491328741e-05,
YBL061C,SKT5,0.4,6.47016262170054e-06,
YBL081W,,0.4,0.000726505324848083,
YBL108W,,0.4,0.140681494057655,
YBR007C,,0.4,5.59901512375233e-06,
